smiles,PUBCHEM_ACTIVITY_OUTCOME,dataset
COC1=CC=C(C=C1)NC(=O)COC2=C(C=C(C=C2)CNCCCN3CCOCC3)OC.Cl.Cl,0,2
CC1=CC(=CC=C1)C(=O)OCC(=O)NCC(=O)OC,0,2
CC1=CC(=C(C=C1)C)S(=O)(=O)NC(C)C(=O)NC2=CC(=C(C=C2)Cl)Cl,1,2
CC1=C(SC=C1)CNCC(=O)O,0,2
CCOC1=NC(=CC(=C1C#N)COC)C,0,2
COC(=O)N1C2CC(C1(C(F)(F)F)C(F)(F)F)C=C2,0,2
CCOC(=O)C1=CC=C(C=C1)COC(=O)CNC(=O)CNC(=O)CC2=CC=CC=C2,0,2
COCC1=C(N=NN1C2=NON=C2N)C(=O)NNC(=O)C3=CC=CC=C3F,0,2
CC1=C(C(=CC=C1)C)OCCOCC(CN2CCN(CC2)C)O.Cl.Cl,0,2
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,0,2
CC/C=C\\C/C=C\\C/C=C\\CCCCCCCCCC(=O)O,0,2
COC1=C(C=C(C(=C1)CO)Br)OCC2=CC=CC=C2C#N,0,2
CCCOCCCCCCCCCC(=O)O,0,2
C1=CC=C(C(=C1)N2C(=C(C(=O)NC2=O)C=NCCCN3C=CN=C3)O)Cl,1,2
CC(C(=O)O)OC1=C(C=C(C=C1)C=O)OC,0,2
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,0,2
C1CN(CCN1C2=CC=C(C=C2)Cl)C(=O)C3=CC4=C(C=C3)OCO4,0,10
CC(C1=NN=C2N1CCN(CC2)CC3=C(C(=CC=C3)OC)OC)NC(=O)CCOC,0,2
C1=CC=C(C=C1)CN2C3=NC=NC(=C3N=N2)NCCCCCO,0,2
CN1C(=NN=C1SCC(=O)NCC(F)(F)F)COC2=CC=C(C=C2)Cl,0,10
CCCCC[C@@H](/C=C/[C@@H]1[C@H](C=CC1=O)C/C=C\\CCCC(=O)O)O,0,2
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC(=CS4)C(=O)NC5=CC6=C(C=C5)OCO6,1,2
CCN(CC)C(=O)CSC1=NN=C(N1CCCOC)C2=CC=CO2,0,2
C1CCN(CC1)C2=NC(=NC(=N2)NCCCC(=O)O)Cl,0,2
COC1=CC=CC(=C1)NC(=O)C(=O)NCCOC=C,0,2
C1=CC(=CC(=C1)[N+](=O)[O-])/C=N/NC(=O)CCCC(=O)N/N=C/C2=CC(=CC=C2)[N+](=O)[O-],0,10
CC(=O)C1=CC=CC=C1OCC(CN2CCN(CC2)C3=CC=CC=N3)O.Cl.Cl,0,2
CC(=O)NC(C(F)(F)F)(C(F)(F)F)NC1=NC=CS1,0,2
CCOC(=O)C(=NCCCN1CCOCC1)NNC2=C(C=CC(=C2)C(F)(F)F)Cl,0,2
COC(=O)NC1=CC=C(C=C1)S(=O)(=O)N(CCO)CC(C(F)F)(F)F,0,2
CCOC(=O)CSC1=NC(=CC(=O)N1CC=C)C(F)(F)F,0,2
CC1=C(C=CC(=C1)Cl)OCCOC2C(C(C(C(O2)CO)O)O)NC(=O)C,0,2
C1CC(N(C1)C2=NC=CC(=N2)NCCCN3CCCC3=O)CO,0,2
CCO.CN1CC=C2C(C1)C(C(C(=C2C(=O)O)N)(C#N)C#N)C3=CC=CO3,0,2
CC(=O)NC1=CC=C(C=C1)/C=C(\\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4,1,2
C1CC(N(C1)C2=NC(=C3C(=N2)N(C=N3)CC4=CC=C(C=C4)C(F)(F)F)NCCN5CCOCC5)CO,0,2
COC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CC4=C(C=C3)N=C(O4)C5=CN=CC=C5,1,2
CCCCCCCCCCCCCCCCOC[C@@H](CO)SC(=O)C,0,2
C1=CC(=CC=C1NC(=O)C(F)(F)F)Cl,0,2
C1=CC(=CC(=C1)[N+](=O)[O-])/C=N\\NC(=O)N,1,2
CC(CC(=O)NNC(=O)C1=CC=C(C=C1)O)CC(=O)O,0,2
CC1=C(C2=CC=CC=C2N1CCOC3=CC=C(C=C3)NC(=O)C)C=C4C(=O)NC(=O)NC4=O,1,2
CC1=CC=[N+](C=C1)CC(COC2=CC=CC=C2)O.[Br-],0,2
CC1(CCOC(=O)C1)O,0,2
C1=CC(=C(C(=C1)F)OCC2=CC(=NO2)C(=O)NCCC3=CSC=N3)F,0,2
C1CCN(CC1)C2=NC(=NC(=N2)OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,0,2
C1(=C(C(=O)C(=C(C1=O)O)O)O)O,0,2
